formatted_address,primary_address,other_address,development_id,development_name,other_address0,other_address1,other_address2,other_address3,other_address4,programs
136 Lenox St  Boston  MA  02118,y,,126,Lenox,,,,,,Public Housing - Federal Family
11 Gordon Ave  Hyde Park  MA  02136,y,,127,Malone,,,,,,Public Housing - Federal Eld/Dis
10 Kemp St  South Boston  MA  02127,y,,128,Mary Ellen McCormack,,,,,,Public Housing - Federal Family
280 MLK Jr. Blvd  Roxbury  MA  02119,y,,129,MLK,,,,,,Public Housing - Federal Eld/Dis
120 L St  South Boston  MA  02127,y,,130,Msgr Powers,,,,,,Public Housing - State Eld/Dis
265 East 9th St  South Boston  MA  02127,y,,131,Old Colony,,,,,,Public Housing - Federal Family
38 Vallar Rd  East Boston  MA  02128,y,,132,Orient Heights,,,,,,Public Housing - State Family
330 Bowdoin St  Dorchester  MA  02122,y,,133,Pasciucco,,,,,,Public Housing - Federal Eld/Dis
20 Washington St  Brighton  MA  02135,y,,134,Patricia White,,,,,,Public Housing - Federal Eld/Dis
1875 Dorchester Ave  Dorchester  MA  02122,y,,135,Peabody/Englewood,,,,,,Public Housing - Federal Eld/Dis
5300 Washington St  West Roxbury  MA  02132,y,,136,Rockland,,,,,,Public Housing - Federal Eld/Dis
1 Cliffmont St  Roslindale  MA  02131,y,,137,Roslyn,,,,,,Public Housing - Federal Eld/Dis
94 West Newton St  Boston  MA  02118,y,,138,Rutland/East Springfield,,,,,,Public Housing - Federal Family
15 St. Rose St #644  Jamaica Plain  MA  02130,y,,139,South Street,,,,,,Public Housing - State Family
23 Spring St  West Roxbury  MA  02132,y,,140,Spring Street,,,,,,Public Housing - Federal Eld/Dis
70 St. Botolph St  Boston  MA  02116,y,,141,St. Botolph,,,,,,Public Housing - Federal Eld/Dis
80 West Dedham St  Boston  MA  02118,y,,142,Torre Unidad,,,,,,Public Housing - Federal Eld/Dis
1701 Washington St  Roxbury  MA  02118,y,,143,Washington Manor,,,,,,Public Housing - Federal Eld/Dis
91-95 Washington St  Brighton  MA  02135,y,,144,91-95 Washington Street,,,,,,Public Housing - Federal Eld/Dis
91 Washington St  Brighton  MA  02135,y,,144,91-95 Washington Street,,,,,,Public Housing - Federal Eld/Dis
93 Washington St  Brighton  MA  02135,y,,144,91-95 Washington Street,,,,,,Public Housing - Federal Eld/Dis
95 Washington St  Brighton  MA  02135,y,,144,91-95 Washington Street,,,,,,Public Housing - Federal Eld/Dis
195 West 9th St  South Boston  MA  02127,y,,145,West 9th Street,,,,,,Public Housing - Federal Eld/Dis
81 Orton Marotta Way  South Boston  MA  02127,y,,146,West Broadway,,,,,,Public Housing - State Family
